date,description,amount,type,category,account_id,currency,counterparty
2024-01-01,Electricity Bill,-254.16,expense,operations,ACC001,USD,Vendor Corp
2024-01-01,Slack Subscription,-238.57,expense,operations,ACC001,USD,TechSupply Ltd
2024-01-01,LinkedIn Recruiter License,-1200.0,expense,hr,ACC001,USD,Metro Bank
2024-01-01,Monthly Salary Payroll,51613.22,income,payroll,ACC001,USD,TechSupply Ltd
2024-01-01,Quarterly Bonus,8402.51,income,payroll,ACC002,USD,Vendor Corp
2024-01-01,Slack Subscription,-206.99,expense,operations,ACC002,USD,Metro Bank
2024-01-03,SaaS Subscription Revenue,13043.42,income,revenue,ACC002,USD,Vendor Corp
2024-01-03,Advance Tax Payment,-7147.02,expense,finance,ACC002,USD,Metro Bank
2024-01-03,Team Training Workshop,-1204.57,expense,hr,ACC001,USD,Client Alpha
2024-01-03,Slack Subscription,-278.3,expense,operations,ACC002,USD,Client Alpha
2024-01-03,SaaS Subscription Revenue,14535.27,income,revenue,ACC002,USD,Client Alpha
2024-01-04,GitHub Enterprise License,-400.0,expense,operations,ACC001,USD,TechSupply Ltd
2024-01-04,SaaS Subscription Revenue,10691.83,income,revenue,ACC001,USD,Client Alpha
2024-01-04,AWS Cloud Services,-1120.67,expense,operations,ACC002,USD,Client Beta
2024-01-04,Wire Transfer Fee,-33.31,expense,finance,ACC002,USD,TechSupply Ltd
2024-01-04,Startup Grant Funding,25825.28,income,revenue,ACC002,USD,TechSupply Ltd
2024-01-04,Bank Processing Fee,-63.96,expense,finance,ACC002,USD,Metro Bank
2024-01-04,Quarterly Bonus,13978.23,income,payroll,ACC001,USD,TechSupply Ltd
2024-01-04,Startup Grant Funding,13636.38,income,revenue,ACC001,USD,TechSupply Ltd
2024-01-04,Tech Conference Sponsorship,-4376.24,expense,marketing,ACC001,USD,Client Beta
2024-01-06,Bank Processing Fee,-147.11,expense,finance,ACC001,USD,Vendor Corp
2024-01-06,Wire Transfer Fee,-68.43,expense,finance,ACC002,USD,Client Beta
2024-01-06,Tech Conference Sponsorship,-3361.17,expense,marketing,ACC002,USD,Metro Bank
2024-01-06,PR Agency Retainer,-1500.0,expense,marketing,ACC002,USD,Metro Bank
2024-01-06,Team Training Workshop,-652.84,expense,hr,ACC001,USD,Metro Bank
2024-01-06,Business Travel Flights Indigo,-1528.35,expense,travel,ACC002,USD,Client Alpha
2024-01-06,Employee Provident Fund,-3086.89,expense,hr,ACC001,USD,Vendor Corp
2024-01-06,Startup Grant Funding,42640.93,income,revenue,ACC001,USD,TechSupply Ltd
2024-01-06,Dividend Income,2867.12,income,revenue,ACC002,USD,TechSupply Ltd
2024-01-06,Team Training Workshop,-1212.95,expense,hr,ACC002,USD,Client Beta
2024-01-06,Client Payment Invoice,11872.13,income,revenue,ACC002,USD,Vendor Corp
2024-01-06,LinkedIn Recruiter License,-11945.86,expense,hr,ACC001,USD,TechSupply Ltd
2024-01-07,Hotel Accommodation,-456.69,expense,travel,ACC002,USD,TechSupply Ltd
2024-01-07,Google Ads Campaign,-3225.39,expense,marketing,ACC002,USD,TechSupply Ltd
2024-01-07,Dividend Income,2518.74,income,revenue,ACC001,USD,Client Beta
2024-01-07,Client Dinner Restaurant,-340.61,expense,travel,ACC001,USD,Vendor Corp
2024-01-07,AWS Cloud Services,-1363.67,expense,operations,ACC001,USD,TechSupply Ltd
2024-01-08,Client Payment Invoice,12485.83,income,revenue,ACC002,USD,TechSupply Ltd
2024-01-08,GitHub Enterprise License,-400.0,expense,operations,ACC001,USD,Vendor Corp
2024-01-08,Office Rent,-5500.0,expense,operations,ACC001,USD,TechSupply Ltd
2024-01-08,Monthly Salary Payroll,59569.23,income,payroll,ACC002,USD,Vendor Corp
2024-01-08,Tech Conference Sponsorship,-3136.92,expense,marketing,ACC002,USD,Client Beta
2024-01-08,Advance Tax Payment,-5115.04,expense,finance,ACC002,USD,TechSupply Ltd
2024-01-08,Team Training Workshop,-796.71,expense,hr,ACC001,USD,Client Alpha
2024-01-08,AWS Cloud Services,-870.2,expense,operations,ACC001,USD,Vendor Corp
2024-01-11,PR Agency Retainer,-1500.0,expense,marketing,ACC001,USD,Client Beta
2024-01-11,Notion Team Plan,-80.0,expense,operations,ACC001,USD,Metro Bank
2024-01-11,Slack Subscription,-212.88,expense,operations,ACC002,USD,Client Alpha
2024-01-11,Health Insurance Premium,-2601.84,expense,hr,ACC002,USD,Client Beta
2024-01-11,Google Ads Campaign,-3080.73,expense,marketing,ACC002,USD,Vendor Corp
2024-01-11,Office Rent,-5500.0,expense,operations,ACC001,USD,Vendor Corp
2024-01-14,Bank Processing Fee,-63.25,expense,finance,ACC001,USD,TechSupply Ltd
2024-01-14,Uber Business Travel,-92.75,expense,travel,ACC002,USD,Metro Bank
2024-01-14,Office Rent,-5500.0,expense,operations,ACC001,USD,TechSupply Ltd
2024-01-14,Bank Processing Fee,-61.54,expense,finance,ACC001,USD,Client Alpha
2024-01-14,Advance Tax Payment,-6024.15,expense,finance,ACC001,USD,Client Alpha
2024-01-14,Startup Grant Funding,20044.85,income,revenue,ACC001,USD,Vendor Corp
2024-01-14,Quarterly Bonus,13293.48,income,payroll,ACC002,USD,TechSupply Ltd
2024-01-14,Bank Processing Fee,-66.16,expense,finance,ACC002,USD,Metro Bank
2024-01-15,GitHub Enterprise License,-400.0,expense,operations,ACC001,USD,Metro Bank
2024-01-15,Internet Broadband,-120.0,expense,operations,ACC001,USD,Client Beta
2024-01-15,Google Ads Campaign,-1317.12,expense,marketing,ACC001,USD,Client Alpha
2024-01-15,Health Insurance Premium,-2609.24,expense,hr,ACC002,USD,Metro Bank
2024-01-15,Monthly Salary Payroll,74215.11,income,payroll,ACC001,USD,TechSupply Ltd
2024-01-15,PR Agency Retainer,-1500.0,expense,marketing,ACC002,USD,Client Beta
2024-01-18,Wire Transfer Fee,-37.96,expense,finance,ACC002,USD,Vendor Corp
2024-01-18,Dividend Income,1056.08,income,revenue,ACC002,USD,Client Alpha
2024-01-18,General Insurance Premium,-1128.21,expense,finance,ACC001,USD,Vendor Corp
2024-01-18,Team Training Workshop,-898.47,expense,hr,ACC001,USD,Client Alpha
2024-01-18,Client Dinner Restaurant,-438.67,expense,travel,ACC002,USD,Vendor Corp
2024-01-18,Notion Team Plan,-80.0,expense,operations,ACC002,USD,Vendor Corp
2024-01-18,Figma License,-119.74,expense,operations,ACC002,USD,Client Beta
2024-01-18,Notion Team Plan,-80.0,expense,operations,ACC002,USD,Vendor Corp
2024-01-21,Office Rent,-5500.0,expense,operations,ACC001,USD,Client Alpha
2024-01-21,Quarterly Bonus,5699.74,income,payroll,ACC002,USD,Metro Bank
2024-01-21,Business Travel Flights Indigo,-1860.44,expense,travel,ACC002,USD,Metro Bank
2024-01-21,General Insurance Premium,-1066.76,expense,finance,ACC002,USD,Metro Bank
2024-01-21,Google Ads Campaign,-1737.15,expense,marketing,ACC002,USD,TechSupply Ltd
2024-01-21,General Insurance Premium,-962.43,expense,finance,ACC002,USD,Client Alpha
2024-01-21,Health Insurance Premium,-2457.93,expense,hr,ACC002,USD,Client Beta
2024-01-21,Client Payment Invoice,22149.11,income,revenue,ACC002,USD,TechSupply Ltd
2024-01-21,Slack Subscription,-192.57,expense,operations,ACC002,USD,Vendor Corp
2024-01-21,Employee Provident Fund,-4009.19,expense,hr,ACC001,USD,TechSupply Ltd
2024-01-21,Electricity Bill,-184.62,expense,operations,ACC001,USD,Client Beta
2024-01-23,Laptop Purchase,-2134.82,expense,technology,ACC001,USD,Vendor Corp
2024-01-23,Quarterly Bonus,7188.41,income,payroll,ACC002,USD,Vendor Corp
2024-01-23,Employee Provident Fund,-4376.21,expense,hr,ACC001,USD,Client Beta
2024-01-23,Business Travel Flights Indigo,-2405.08,expense,travel,ACC002,USD,Metro Bank
2024-01-23,Client Payment Invoice,36710.66,income,revenue,ACC002,USD,Client Beta
2024-01-23,Bank Processing Fee,-125.18,expense,finance,ACC002,USD,Metro Bank
2024-01-23,Startup Grant Funding,35069.94,income,revenue,ACC001,USD,Client Alpha
2024-01-23,Employee Provident Fund,-3407.57,expense,hr,ACC001,USD,TechSupply Ltd
2024-01-24,Laptop Purchase,-2673.66,expense,technology,ACC001,USD,Client Beta
2024-01-24,Monthly Salary Payroll,54926.44,income,payroll,ACC001,USD,TechSupply Ltd
2024-01-24,Monthly Salary Payroll,56684.3,income,payroll,ACC001,USD,Metro Bank
2024-01-24,Laptop Purchase,-2087.85,expense,technology,ACC002,USD,Client Beta
2024-01-24,Monthly Salary Payroll,61146.62,income,payroll,ACC001,USD,Client Beta
2024-01-24,LinkedIn Recruiter License,-1200.0,expense,hr,ACC002,USD,Client Alpha
2024-01-24,API Development Hosting,-489.67,expense,technology,ACC001,USD,Metro Bank
2024-01-24,Electricity Bill,-270.69,expense,operations,ACC001,USD,Vendor Corp
2024-01-27,Google Ads Campaign,-3627.18,expense,marketing,ACC002,USD,Client Beta
2024-01-27,Business Travel Flights Indigo,-1002.15,expense,travel,ACC002,USD,Client Alpha
2024-01-27,Monthly Salary Payroll,52568.15,income,payroll,ACC001,USD,Metro Bank
2024-01-27,AWS Cloud Services,-2199.87,expense,operations,ACC001,USD,Vendor Corp
2024-01-27,Electricity Bill,-274.96,expense,operations,ACC001,USD,Metro Bank
2024-01-27,Facebook Ads,-1205.53,expense,marketing,ACC001,USD,Metro Bank
2024-01-27,Health Insurance Premium,-2479.02,expense,hr,ACC002,USD,TechSupply Ltd
2024-01-27,Notion Team Plan,-80.0,expense,operations,ACC002,USD,Vendor Corp
2024-01-27,Electricity Bill,-272.89,expense,operations,ACC002,USD,Client Beta
2024-01-27,Team Training Workshop,-576.0,expense,hr,ACC001,USD,Vendor Corp
2024-01-27,General Insurance Premium,-1140.12,expense,finance,ACC001,USD,Metro Bank
2024-01-28,Quarterly Bonus,11615.21,income,payroll,ACC002,USD,Vendor Corp
2024-01-28,Monthly Salary Payroll,69669.93,income,payroll,ACC002,USD,Client Beta
2024-01-28,Facebook Ads,-1540.33,expense,marketing,ACC002,USD,Metro Bank
2024-01-28,Dividend Income,1662.18,income,revenue,ACC002,USD,Client Alpha
2024-01-28,Employee Provident Fund,-4246.1,expense,hr,ACC002,USD,TechSupply Ltd
2024-01-28,SaaS Subscription Revenue,13547.74,income,revenue,ACC002,USD,Vendor Corp
2024-01-28,Startup Grant Funding,44038.11,income,revenue,ACC001,USD,Client Alpha
2024-01-28,Bank Processing Fee,-84.03,expense,finance,ACC002,USD,Metro Bank
2024-01-28,Office Rent,-5500.0,expense,operations,ACC001,USD,Client Beta
2024-01-28,Startup Grant Funding,32207.05,income,revenue,ACC002,USD,Client Beta
2024-01-30,Slack Subscription,-194.14,expense,operations,ACC001,USD,Client Alpha
2024-01-30,Uber Business Travel,-120.99,expense,travel,ACC002,USD,Metro Bank
2024-01-30,Hotel Accommodation,-681.45,expense,travel,ACC002,USD,Client Alpha
2024-01-30,LinkedIn Recruiter License,-1200.0,expense,hr,ACC001,USD,Metro Bank
2024-01-30,PR Agency Retainer,-1500.0,expense,marketing,ACC002,USD,Metro Bank
2024-02-02,Figma License,-137.45,expense,operations,ACC002,USD,TechSupply Ltd
2024-02-02,General Insurance Premium,-805.66,expense,finance,ACC002,USD,Vendor Corp
2024-02-02,AWS Cloud Services,-1574.7,expense,operations,ACC001,USD,Client Beta
2024-02-02,Figma License,-140.45,expense,operations,ACC002,USD,Client Beta
2024-02-02,Client Payment Invoice,18902.59,income,revenue,ACC002,USD,Client Beta
2024-02-02,Notion Team Plan,-80.0,expense,operations,ACC001,USD,Metro Bank
2024-02-02,AWS Cloud Services,-1012.42,expense,operations,ACC002,USD,Vendor Corp
2024-02-02,Employee Provident Fund,-3177.68,expense,hr,ACC001,USD,Metro Bank
2024-02-02,Laptop Purchase,-2016.39,expense,technology,ACC002,USD,Client Alpha
2024-02-05,Figma License,-146.07,expense,operations,ACC001,USD,Client Alpha
2024-02-05,Slack Subscription,-173.56,expense,operations,ACC001,USD,TechSupply Ltd
2024-02-05,Office Rent,-5500.0,expense,operations,ACC002,USD,Client Alpha
2024-02-05,Internet Broadband,-120.0,expense,operations,ACC002,USD,Vendor Corp
2024-02-05,LinkedIn Recruiter License,-1200.0,expense,hr,ACC001,USD,Client Beta
2024-02-06,Facebook Ads,-2344.3,expense,marketing,ACC001,USD,Vendor Corp
2024-02-06,Tech Conference Sponsorship,-4377.89,expense,marketing,ACC002,USD,Client Beta
2024-02-06,Notion Team Plan,-80.0,expense,operations,ACC002,USD,Client Alpha
2024-02-06,Startup Grant Funding,27510.35,income,revenue,ACC002,USD,Client Alpha
2024-02-06,Bank Processing Fee,-52.59,expense,finance,ACC001,USD,Client Alpha
2024-02-06,Internet Broadband,-120.0,expense,operations,ACC002,USD,Client Alpha
2024-02-06,PR Agency Retainer,-1500.0,expense,marketing,ACC002,USD,Vendor Corp
2024-02-06,Dividend Income,1369.9,income,revenue,ACC001,USD,TechSupply Ltd
2024-02-08,Startup Grant Funding,21528.71,income,revenue,ACC001,USD,Client Beta
2024-02-08,Slack Subscription,-197.18,expense,operations,ACC002,USD,Metro Bank
2024-02-08,Office Rent,-5500.0,expense,operations,ACC002,USD,Vendor Corp
2024-02-08,Team Training Workshop,-1018.44,expense,hr,ACC002,USD,Client Beta
2024-02-08,AWS Cloud Services,-1084.98,expense,operations,ACC002,USD,Client Beta
2024-02-08,Startup Grant Funding,14857.04,income,revenue,ACC001,USD,TechSupply Ltd
2024-02-08,General Insurance Premium,-1020.34,expense,finance,ACC001,USD,TechSupply Ltd
2024-02-08,Notion Team Plan,-80.0,expense,operations,ACC001,USD,Client Beta
2024-02-08,Advance Tax Payment,-5544.36,expense,finance,ACC002,USD,Client Beta
2024-02-08,Employee Provident Fund,-3685.18,expense,hr,ACC001,USD,Metro Bank
2024-02-08,Google Ads Campaign,-3619.28,expense,marketing,ACC002,USD,Client Alpha
2024-02-11,Office Rent,-5500.0,expense,operations,ACC002,USD,TechSupply Ltd
2024-02-11,Client Payment Invoice,25234.58,income,revenue,ACC002,USD,Client Beta
2024-02-11,Business Travel Flights Indigo,-2252.24,expense,travel,ACC001,USD,Metro Bank
2024-02-11,Laptop Purchase,-1430.62,expense,technology,ACC001,USD,Client Alpha
2024-02-11,Dividend Income,2263.07,income,revenue,ACC002,USD,TechSupply Ltd
2024-02-11,Startup Grant Funding,48592.98,income,revenue,ACC002,USD,Vendor Corp
2024-02-11,Client Payment Invoice,11190.77,income,revenue,ACC001,USD,TechSupply Ltd
2024-02-11,Monthly Salary Payroll,71127.99,income,payroll,ACC001,USD,Client Beta
2024-02-11,Bank Processing Fee,-83.86,expense,finance,ACC001,USD,Client Alpha
2024-02-14,Business Travel Flights Indigo,-1790.92,expense,travel,ACC002,USD,Metro Bank
2024-02-14,Internet Broadband,-120.0,expense,operations,ACC002,USD,TechSupply Ltd
2024-02-14,Slack Subscription,-215.1,expense,operations,ACC001,USD,Client Beta
2024-02-14,Tech Conference Sponsorship,-4082.0,expense,marketing,ACC001,USD,Client Alpha
2024-02-14,AWS Cloud Services,-1210.71,expense,operations,ACC001,USD,TechSupply Ltd
2024-02-14,Monthly Salary Payroll,61977.84,income,payroll,ACC001,USD,TechSupply Ltd
2024-02-14,Slack Subscription,-241.42,expense,operations,ACC001,USD,Client Beta
2024-02-14,Facebook Ads,-1194.72,expense,marketing,ACC002,USD,Client Alpha
2024-02-14,Office Rent,-5500.0,expense,operations,ACC002,USD,Metro Bank
2024-02-14,Tech Conference Sponsorship,-2221.59,expense,marketing,ACC002,USD,Client Beta
2024-02-14,Bank Processing Fee,-95.68,expense,finance,ACC002,USD,Client Beta
2024-02-15,Laptop Purchase,-2344.19,expense,technology,ACC002,USD,Vendor Corp
2024-02-15,API Development Hosting,-309.79,expense,technology,ACC001,USD,Metro Bank
2024-02-15,Startup Grant Funding,43313.56,income,revenue,ACC001,USD,Metro Bank
2024-02-15,Client Dinner Restaurant,-248.55,expense,travel,ACC002,USD,TechSupply Ltd
2024-02-15,Figma License,-142.76,expense,operations,ACC002,USD,Client Beta
2024-02-15,Internet Broadband,-120.0,expense,operations,ACC001,USD,Client Alpha
2024-02-15,Business Travel Flights Indigo,-2020.21,expense,travel,ACC001,USD,Metro Bank
2024-02-15,Uber Business Travel,-129.63,expense,travel,ACC001,USD,Client Alpha
2024-02-17,Hotel Accommodation,-1043.39,expense,travel,ACC001,USD,TechSupply Ltd
2024-02-17,LinkedIn Recruiter License,-1200.0,expense,hr,ACC002,USD,Metro Bank
2024-02-17,Uber Business Travel,-63.55,expense,travel,ACC002,USD,Metro Bank
2024-02-17,Notion Team Plan,-80.0,expense,operations,ACC002,USD,Metro Bank
2024-02-17,Laptop Purchase,-3020.53,expense,technology,ACC001,USD,TechSupply Ltd
2024-02-17,Dividend Income,562.56,income,revenue,ACC002,USD,Metro Bank
2024-02-17,LinkedIn Recruiter License,-1200.0,expense,hr,ACC002,USD,Client Alpha
2024-02-17,Monthly Salary Payroll,48500.28,income,payroll,ACC001,USD,Client Alpha
2024-02-17,Startup Grant Funding,14644.82,income,revenue,ACC001,USD,Client Beta
2024-02-19,Monthly Salary Payroll,62620.21,income,payroll,ACC002,USD,Vendor Corp
2024-02-19,Startup Grant Funding,34626.09,income,revenue,ACC002,USD,Vendor Corp
2024-02-19,Uber Business Travel,-82.59,expense,travel,ACC001,USD,Client Alpha
2024-02-19,Figma License,-148.57,expense,operations,ACC002,USD,Vendor Corp
2024-02-19,API Development Hosting,-310.35,expense,technology,ACC002,USD,Vendor Corp
2024-02-19,Health Insurance Premium,-2585.02,expense,hr,ACC001,USD,Vendor Corp
2024-02-19,Hotel Accommodation,-594.86,expense,travel,ACC001,USD,Vendor Corp
2024-02-19,Health Insurance Premium,-2551.83,expense,hr,ACC001,USD,Client Alpha
2024-02-19,Facebook Ads,-2140.69,expense,marketing,ACC002,USD,TechSupply Ltd
2024-02-19,Google Ads Campaign,-2712.6,expense,marketing,ACC001,USD,Vendor Corp
2024-02-20,Client Dinner Restaurant,-505.49,expense,travel,ACC002,USD,Vendor Corp
2024-02-20,PR Agency Retainer,-1500.0,expense,marketing,ACC002,USD,Metro Bank
2024-02-20,Notion Team Plan,-80.0,expense,operations,ACC002,USD,Metro Bank
2024-02-20,Figma License,-108.9,expense,operations,ACC001,USD,Metro Bank
2024-02-20,General Insurance Premium,-983.22,expense,finance,ACC001,USD,Client Beta
2024-02-22,Figma License,-111.77,expense,operations,ACC001,USD,Vendor Corp
2024-02-22,Business Travel Flights Indigo,-1755.77,expense,travel,ACC002,USD,Metro Bank
2024-02-22,Business Travel Flights Indigo,-1323.72,expense,travel,ACC002,USD,Client Beta
2024-02-22,Quarterly Bonus,5991.78,income,payroll,ACC001,USD,Client Beta
2024-02-22,Client Payment Invoice,36418.91,income,revenue,ACC002,USD,Client Beta
2024-02-22,Monthly Salary Payroll,66888.38,income,payroll,ACC002,USD,Client Alpha
2024-02-22,Uber Business Travel,-193.04,expense,travel,ACC002,USD,Vendor Corp
2024-02-22,Slack Subscription,-274.77,expense,operations,ACC001,USD,Client Alpha
2024-02-22,Google Ads Campaign,-2757.84,expense,marketing,ACC002,USD,Vendor Corp
2024-02-22,Monthly Salary Payroll,55607.94,income,payroll,ACC002,USD,Vendor Corp
2024-02-22,Advance Tax Payment,-6002.05,expense,finance,ACC001,USD,TechSupply Ltd
2024-02-25,LinkedIn Recruiter License,-1200.0,expense,hr,ACC002,USD,Vendor Corp
2024-02-25,Wire Transfer Fee,-58.71,expense,finance,ACC001,USD,Metro Bank
2024-02-25,Wire Transfer Fee,-31.45,expense,finance,ACC002,USD,Client Alpha
2024-02-25,Client Dinner Restaurant,-152.75,expense,travel,ACC002,USD,Vendor Corp
2024-02-25,Facebook Ads,-2059.65,expense,marketing,ACC001,USD,Metro Bank
2024-02-25,Health Insurance Premium,-2425.72,expense,hr,ACC001,USD,Client Alpha
2024-02-25,General Insurance Premium,-1088.64,expense,finance,ACC001,USD,Vendor Corp
2024-02-25,Facebook Ads,-1067.6,expense,marketing,ACC001,USD,Client Alpha
